name,email,date_of_birth,mobile_no,reason
William Dixon,William_Dixon@woodward-fuller.biz,1986/01/10,40601711,EMAIL NOT .NET OR .COM
Kristen Horn,Kristen_Horn@lin.com,1974-09-10,737931,MOBILE NUMBER NOT 8 DIGITS
Kimberly Chang,Kimberly_Chang@johnson-lopez.biz,02/27/1974,2692047,MOBILE NUMBER NOT 8 DIGITS
Mary Ball,Mary_Ball@stevens.biz,02/05/1968,886359,MOBILE NUMBER NOT 8 DIGITS
Benjamin Craig,Benjamin_Craig@berry.net,12/11/1988,696429,MOBILE NUMBER NOT 8 DIGITS
Cathy Werner,Cathy_Werner@martinez.net,2018-09-25,7138041,MOBILE NUMBER NOT 8 DIGITS
Brandon Bell,Brandon_Bell@johnson-burgess.com,1961-10-27,768543,MOBILE NUMBER NOT 8 DIGITS
Paul Farley,Paul_Farley@payne-taylor.com,1980-11-22,8196105,MOBILE NUMBER NOT 8 DIGITS
Sarah Mcdaniel,Sarah_Mcdaniel@hughes-simon.com,2017/04/26,12556,MOBILE NUMBER NOT 8 DIGITS
Caroline Anderson,Caroline_Anderson@blair-phillips.com,02/27/1988,5818212,MOBILE NUMBER NOT 8 DIGITS
Carl Jones,Carl_Jones@coleman.com,06/21/1993,220035,MOBILE NUMBER NOT 8 DIGITS
Scott Lee,Scott_Lee@phillips.com,2010-07-12,52145751,BELOW 18
Kaylee Coleman,Kaylee_Coleman@hammond.com,10/08/2009,156657,MOBILE NUMBER NOT 8 DIGITS
Charles Parker,Charles_Parker@morris-keller.com,12/20/1980,92921,MOBILE NUMBER NOT 8 DIGITS
Susan Hess,Susan_Hess@sharp-hodges.net,1950-05-21,46541,MOBILE NUMBER NOT 8 DIGITS
Kiara Collier,Kiara_Collier@chandler.biz,1959-05-21,955551,MOBILE NUMBER NOT 8 DIGITS
Mr. Scott Martinez,Scott_Martinez@goodwin.com,02/16/1992,369441,MOBILE NUMBER NOT 8 DIGITS
Christopher Ortega,Christopher_Ortega@perez.biz,1959-06-18,9968155,MOBILE NUMBER NOT 8 DIGITS
Michael Russell,Michael_Russell@nunez-wright.com,2013/01/20,6400283,MOBILE NUMBER NOT 8 DIGITS
Dwayne Johnson,Dwayne_Johnson@contreras-boyd.com,2006/11/10,115935,MOBILE NUMBER NOT 8 DIGITS
Deanna Sherman,Deanna_Sherman@wright-sanchez.org,25-04-1975,143073,MOBILE NUMBER NOT 8 DIGITS
Douglas Francis,Douglas_Francis@king-cross.org,21-12-1992,1535885,MOBILE NUMBER NOT 8 DIGITS
Vicki Diaz,Vicki_Diaz@macdonald-day.com,1993/10/05,165459,MOBILE NUMBER NOT 8 DIGITS
Robin Phillips,Robin_Phillips@krause.net,1974-07-15,69531,MOBILE NUMBER NOT 8 DIGITS
Travis Rice,Travis_Rice@bradley.net,05/08/2006,3631 6303,MOBILE NUMBER NOT 8 DIGITS
Ashley Rocha,Ashley_Rocha@hicks.info,1956/09/11,7046565,MOBILE NUMBER NOT 8 DIGITS
Sarah Jacobson,Sarah_Jacobson@mclean-jacobs.info,03/09/1958,6107 1779,MOBILE NUMBER NOT 8 DIGITS
Kayla Shannon,Kayla_Shannon@hendricks-hunter.org,1984/05/17,51323743,EMAIL NOT .NET OR .COM
Joseph Torres,Joseph_Torres@johnson.com,1955/05/05,34376,MOBILE NUMBER NOT 8 DIGITS
Kim Jones,Kim_Jones@little.net,02-11-1985,34401,MOBILE NUMBER NOT 8 DIGITS
Melissa Tanner,Melissa_Tanner@johnson.net,04/30/1989,70391,MOBILE NUMBER NOT 8 DIGITS
Sonya Foster,Sonya_Foster@garcia-browning.com,10-09-1988,143877,MOBILE NUMBER NOT 8 DIGITS
Mr. Thomas Rivera,Thomas_Rivera@guzman-avila.com,1951/07/15,843813,MOBILE NUMBER NOT 8 DIGITS
Jamie Silva,Jamie_Silva@hill.com,2006/06/21,469791,MOBILE NUMBER NOT 8 DIGITS
Kathleen Moore,Kathleen_Moore@avila.info,1952/02/03,609093,MOBILE NUMBER NOT 8 DIGITS
Evelyn Pineda,Evelyn_Pineda@sullivan-collins.net,02/04/1958,8819217,MOBILE NUMBER NOT 8 DIGITS
Kyle Peters,Kyle_Peters@cole-edwards.com,1995/08/25,346701,MOBILE NUMBER NOT 8 DIGITS
Anthony Cruz,Anthony_Cruz@burns.com,22-02-1955,1742399,MOBILE NUMBER NOT 8 DIGITS
Gary Harper,Gary_Harper@bell-mueller.com,01/11/1998,77546,MOBILE NUMBER NOT 8 DIGITS
Linda Johnson,Linda_Johnson@williams.biz,1959/07/29,828207,MOBILE NUMBER NOT 8 DIGITS
Melissa Smith,Melissa_Smith@carroll.org,1997-12-08,9831067,MOBILE NUMBER NOT 8 DIGITS
Kristen Floyd,Kristen_Floyd@robinson.com,1993-05-25,4685654,MOBILE NUMBER NOT 8 DIGITS
William Diaz,William_Diaz@cruz-norris.com,02/16/1987,97811,MOBILE NUMBER NOT 8 DIGITS
Benjamin Smith,Benjamin_Smith@christian-contreras.com,12/23/1987,9583 5639,MOBILE NUMBER NOT 8 DIGITS
David Glenn,David_Glenn@jenkins-mcfarland.org,15-06-2011,960561,MOBILE NUMBER NOT 8 DIGITS
Dawn Jones,Dawn_Jones@ashley-johnson.com,2007/03/02,91686479,BELOW 18
Joel Smith,Joel_Smith@walker-roth.biz,1971-09-09,8287875,MOBILE NUMBER NOT 8 DIGITS
Mr. Larry Grimes MD,Larry_Grimes@lewis-richardson.info,12/31/2005,966177,MOBILE NUMBER NOT 8 DIGITS
Joseph Arnold,Joseph_Arnold@gibbs.biz,08/21/2005,2019270,MOBILE NUMBER NOT 8 DIGITS
Kyle Long,Kyle_Long@galvan.com,07/13/1992,2785329,MOBILE NUMBER NOT 8 DIGITS
Brittany Day,Brittany_Day@brown.info,2018/05/22,61597047,EMAIL NOT .NET OR .COM
Bobby Ward,Bobby_Ward@bailey-taylor.org,1964/10/06,64672783,EMAIL NOT .NET OR .COM
Thomas Lee,Thomas_Lee@wilson-allen.com,10/28/1996,91381,MOBILE NUMBER NOT 8 DIGITS
Jennifer Hansen,Jennifer_Hansen@nelson.biz,06/28/1963,308547,MOBILE NUMBER NOT 8 DIGITS
Lisa Murray,Lisa_Murray@mcclain.net,2011-07-09,3172233,MOBILE NUMBER NOT 8 DIGITS
Meghan Wade,Meghan_Wade@garcia-brown.org,09/15/1982,610719,MOBILE NUMBER NOT 8 DIGITS
Tammie Brooks,Tammie_Brooks@james.com,1962/09/14,114957,MOBILE NUMBER NOT 8 DIGITS
Maria Bell,Maria_Bell@lambert-lamb.com,2018/10/26,60030719,BELOW 18
