first_name,last_name,above_18,membership_ID,email,date_of_birth,mobile_no
Patty,Smith,Yes,Smith_c7677,Patty_Smith@ross.com,19750827,59428759
Sean,Wang,Yes,Wang_04168,Sean_Wang@gibson-calderon.com,19600311,25595367
Richard,Estrada,Yes,Estrada_0bf5b,Richard_Estrada@malone.com,19921015,22821527
Jackson,Cline,Yes,Cline_825fb,Jackson_Cline@hudson.net,19710121,48056519
Allen,Williams,Yes,Williams_3e726,Allen_Williams@sanchez.net,19971109,77991519
Eric,Flores,Yes,Flores_f6828,Eric_Flores@dillon-patterson.com,19820107,36641663
Anna,Richardson,Yes,Richardson_ef158,Anna_Richardson@perry.com,19670223,64083047
Taylor,Gomez,Yes,Gomez_876bf,Taylor_Gomez@johnston.com,19821022,24007567
Jeremy,Rodriguez,Yes,Rodriguez_93ac7,Jeremy_Rodriguez@roth.com,19780828,32567967
April,Garcia,Yes,Garcia_26b55,April_Garcia@hall.com,19871231,24650447
Sharon,Garza,Yes,Garza_40199,Sharon_Garza@duran.com,20020830,59411567
Lori,Sanchez,Yes,Sanchez_364a7,Lori_Sanchez@hardin-warner.net,19980420,76989167
Jason,Armstrong,Yes,Armstrong_e2fb8,Jason_Armstrong@curtis.com,19921116,68514503
Jessica,Allison,Yes,Allison_0c21b,Jessica_Allison@harper.com,19721030,66821135
Arthur,Hall,Yes,Hall_5eccd,Arthur_Hall@gonzalez.com,19940311,65493407
Sherry,Meza,Yes,Meza_5bcfa,Sherry_Meza@west.com,19970409,33491119
Matthew,Turner,Yes,Turner_0303a,Matthew_Turner@martinez.com,19940707,73291455
Sophia,Randolph,Yes,Randolph_76c7a,Sophia_Randolph@leonard-ramirez.com,19500807,94510479
Samuel,Thompson,Yes,Thompson_8382b,Samuel_Thompson@sanchez-carroll.com,19840304,99063183
Zachary,Lee,Yes,Lee_76cce,Zachary_Lee@smith.com,19870704,36447751
Kara,Pittman,Yes,Pittman_44c4d,Kara_Pittman@gomez-vaughn.com,19680525,80502567
Gabriella,Anthony,Yes,Anthony_ebd30,Gabriella_Anthony@castro.com,19970106,89108943
Misty,Cantrell,Yes,Cantrell_b19eb,Misty_Cantrell@flores-decker.com,19570303,79619831
Kelly,Guerrero,Yes,Guerrero_d55cb,Kelly_Guerrero@riggs.com,19970203,53052583
David,Nichols,Yes,Nichols_9226a,David_Nichols@rocha.com,19620819,62269575
Shawn,Galloway,Yes,Galloway_1a4d2,Shawn_Galloway@johnston.com,19850419,17471367
Dennis,Sanford,Yes,Sanford_c7e24,Dennis_Sanford@lopez-archer.com,19800806,88084407
Amanda,Murphy,Yes,Murphy_0851c,Amanda_Murphy@bright-gibbs.net,20000730,30501351
Bobby,Martin,Yes,Martin_35f44,Bobby_Martin@jackson.com,20000331,43871143
Vernon,Bishop,Yes,Bishop_b0506,Vernon_Bishop@clark-larson.com,19730710,78396487
Phillip,Meyers,Yes,Meyers_2871d,Phillip_Meyers@mcneil-williams.com,19601022,95409119
Robert,Martin,Yes,Martin_6f48d,Robert_Martin@crawford.com,19500718,78547615
William,Taylor,Yes,Taylor_4fbc5,William_Taylor@warner-morgan.net,19860131,42996791
Michael,Brady,Yes,Brady_bd431,Michael_Brady@wells-sanders.com,19500323,65342263
James,Rhodes,Yes,Rhodes_df266,James_Rhodes@green.com,19771010,27465295
